model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,ID
 A1,2016,14000,Automatic,12942,Diesel,20,72.4,1.6,Audi,15404
 Golf,2015,11271,Manual,51108,Diesel,20,68.9,2.0,VW,6427
 A1,2015,12800,Automatic,34076,Diesel,0,76.3,1.6,Audi,46414
 Polo,2015,9195,Semi-Auto,22150,Petrol,20,60.1,1.2,VW,22345
 A1,2016,13990,Manual,25600,Petrol,30,55.4,1.4,Audi,1985
 1 Series,2015,10899,Manual,64716,Diesel,30,65.7,2.0,BMW,39332
 A Class,2018,17990,Semi-Auto,20238,Petrol,145,53.3,1.3,Mercedes,28852
 3 Series,2019,35995,Automatic,17188,Diesel,145,49.6,2.0,BMW,27747
 Golf,2017,23495,Manual,35271,Petrol,205,40.4,2.0,VW,22485
 Golf SV,2019,22485,Semi-Auto,3170,Petrol,145,43.5,1.5,VW,162
 C Class,2016,18999,Automatic,25334,Petrol,125,51.4,2.0,Mercedes,5294
 2 Series,2019,20000,Semi-Auto,10539,Petrol,145,47.9,2.0,BMW,4702
 Tiguan,2017,23495,Automatic,24298,Petrol,145,38.2,2.0,VW,16175
 A Class,2019,25399,Automatic,5976,Diesel,145,56.5,2.0,Mercedes,4320
 GLC Class,2016,27250,Automatic,30810,Diesel,150,56.5,2.1,Mercedes,8515
 Golf,2017,17750,Manual,27125,Diesel,20,67.3,2.0,VW,24740
 Passat,2016,11450,Manual,45324,Diesel,20,68.9,2.0,VW,40305
 Up,2015,7995,Manual,34398,Petrol,20,61.4,1.0,VW,25257
 A Class,2018,17499,Automatic,21548,Diesel,145,65.7,1.5,Mercedes,26815
 Up,2015,6799,Manual,28291,Other,20,62.8,1.0,VW,2327
 GLC Class,2018,29990,Semi-Auto,22420,Diesel,145,56.5,2.1,Mercedes,14034
 Tiguan,2016,17995,Automatic,20513,Diesel,125,57.6,2.0,VW,35144
 Golf,2019,19990,Semi-Auto,3588,Diesel,145,52.3,2.0,VW,18492
 E Class,2014,12802,Semi-Auto,82748,Diesel,125,57.7,2.1,Mercedes,1991
 A3,2019,32850,Semi-Auto,6337,Petrol,145,34.9,2.0,Audi,24182
 Passat,2015,10798,Semi-Auto,83283,Diesel,125,60.1,2.0,VW,29426
 C Class,2019,29890,Semi-Auto,1587,Diesel,145,60.1,1.6,Mercedes,43693
 A Class,2019,25799,Semi-Auto,2940,Diesel,145,56.5,2.0,Mercedes,45735
 Q2,2019,28900,Semi-Auto,6005,Petrol,145,33.2,2.0,Audi,23725
 A Class,2020,24889,Semi-Auto,1000,Diesel,145,62.8,1.5,Mercedes,41279
 2 Series,2019,22475,Semi-Auto,5558,Petrol,150,50.4,2.0,BMW,269
 A Class,2019,29991,Automatic,3608,Petrol,145,53.3,1.3,Mercedes,10424
 Polo,2015,9995,Manual,12000,Petrol,20,60.1,1.0,VW,18940
 Golf,2017,14500,Semi-Auto,17660,Petrol,145,55.4,1.4,VW,30594
 CL Class,2019,26499,Semi-Auto,10432,Diesel,145,51.4,2.2,Mercedes,43562
 Golf,2019,18995,Manual,99,Diesel,145,57.7,1.6,VW,27736
 A4,2016,15600,Manual,19825,Diesel,20,70.6,2.0,Audi,2990
 Polo,2017,10995,Manual,22215,Petrol,145,60.1,1.2,VW,19204
 X2,2018,21995,Semi-Auto,13056,Diesel,145,61.4,2.0,BMW,22638
 Touran,2016,14998,Manual,23154,Diesel,30,61.4,1.6,VW,30838
 Q3,2020,28000,Manual,1000,Petrol,145,40.9,1.5,Audi,10338
 E Class,2019,35699,Semi-Auto,8911,Diesel,145,48.7,3.0,Mercedes,11602
 T-Roc,2019,20995,Automatic,6000,Petrol,145,39.8,1.5,VW,12711
 X5,2015,22995,Automatic,41622,Diesel,200,47.9,3.0,BMW,43357
 C Class,2008,4995,Automatic,90000,Diesel,260,42.2,2.1,Mercedes,9581
 Q7,2019,47990,Semi-Auto,13769,Diesel,145,33.2,3.0,Audi,32150
 4 Series,2017,16500,Manual,38840,Diesel,125,60.1,2.0,BMW,27419
 5 Series,2016,15950,Automatic,33472,Diesel,30,62.8,2.0,BMW,11108
 X5,2019,50832,Semi-Auto,100,Diesel,145,37.7,3.0,BMW,37778
 Polo,2017,10650,Manual,10518,Petrol,150,60.1,1.2,VW,45204
 C Class,2019,44160,Automatic,1414,Diesel,145,55.4,2.0,Mercedes,31931
 C Class,2019,29990,Automatic,12986,Diesel,145,57.7,2.0,Mercedes,19154
 Golf,2017,18699,Automatic,32591,Diesel,145,57.7,2.0,VW,33623
 C Class,2019,23998,Semi-Auto,10357,Diesel,145,61.4,2.0,Mercedes,30458
 SL CLASS,2019,60099,Automatic,38,Petrol,145,29.4,3.0,Mercedes,23890
 Golf,2020,21998,Manual,15,Petrol,150,47.9,1.5,VW,18204
 C Class,2014,11750,Semi-Auto,77043,Diesel,20,64.2,2.1,Mercedes,45099
 Q7,2012,14600,Automatic,95600,Diesel,300,38.2,3.0,Audi,38467
 5 Series,2020,34750,Automatic,101,Diesel,145,60.1,3.0,BMW,11276
 A3,2017,14990,Manual,24842,Petrol,20,60.1,1.0,Audi,5632
 GLE Class,2018,45200,Semi-Auto,9139,Diesel,145,36.7,3.0,Mercedes,41045
 A1,2019,19850,Semi-Auto,2969,Petrol,145,47.9,1.0,Audi,38200
 E Class,2019,25495,Semi-Auto,7499,Diesel,145,67.3,2.0,Mercedes,21356
 A5,2019,30000,Manual,4500,Petrol,145,37.2,2.0,Audi,37598
 A Class,2020,25990,Manual,1499,Petrol,145,47.1,1.3,Mercedes,37795
 E Class,2016,19200,Automatic,27064,Diesel,145,54.3,3.0,Mercedes,38199
 A Class,2016,17990,Semi-Auto,29999,Petrol,125,49.6,1.6,Mercedes,24140
 A Class,2016,14552,Semi-Auto,25653,Diesel,0,76.4,1.5,Mercedes,18876
 Golf,2019,19490,Manual,25,Petrol,145,45.6,1.5,VW,1805
 B Class,2019,16990,Manual,5000,Petrol,145,49.6,1.6,Mercedes,36699
 E Class,2019,24490,Semi-Auto,8499,Diesel,150,67.3,2.0,Mercedes,44510
 B Class,2020,22390,Manual,150,Petrol,145,45.6,1.3,Mercedes,40938
 Q2,2017,19990,Semi-Auto,18887,Petrol,125,52.3,1.4,Audi,35566
 Q2,2019,19751,Manual,5249,Diesel,145,49.6,1.6,Audi,6426
 Scirocco,2017,11997,Manual,19759,Petrol,145,37.2,1.4,VW,22138
 A6,2019,27750,Automatic,9534,Diesel,145,50.4,2.0,Audi,21924
 X1,2016,21390,Automatic,22595,Petrol,160,44.8,2.0,BMW,20106
 A Class,2018,14300,Automatic,16347,Diesel,150,74.3,1.5,Mercedes,11139
 C Class,2019,24290,Semi-Auto,5542,Petrol,145,42.2,1.6,Mercedes,26079
 A4,2017,14800,Manual,45500,Diesel,20,68.9,2.0,Audi,30429
 3 Series,2018,19998,Semi-Auto,59348,Diesel,150,57.6,2.0,BMW,11763
 5 Series,2017,26262,Automatic,41074,Diesel,145,53.3,3.0,BMW,35019
 Q5,2019,32500,Automatic,1547,Diesel,145,55.4,2.0,Audi,20817
 A3,2019,23495,Automatic,7378,Diesel,145,52.3,1.6,Audi,10399
 1 Series,2016,15495,Automatic,31000,Petrol,145,43.5,2.0,BMW,3249
 GLC Class,2016,24132,Semi-Auto,48314,Diesel,125,56.5,2.1,Mercedes,10082
 Golf,2019,16480,Automatic,17389,Petrol,145,45.6,1.0,VW,43499
 5 Series,2017,21790,Semi-Auto,24794,Diesel,30,65.7,2.0,BMW,23847
 3 Series,2019,27280,Semi-Auto,7311,Petrol,145,42.2,2.0,BMW,27733
 A3,2019,23788,Semi-Auto,14721,Petrol,145,41.5,1.5,Audi,22376
 C Class,2018,28149,Automatic,9273,Diesel,145,54.3,2.0,Mercedes,18449
 A4,2019,18698,Semi-Auto,18075,Petrol,145,40.9,2.0,Audi,44250
 GLE Class,2019,56693,Automatic,9632,Petrol,145,29.5,3.0,Mercedes,25199
 Tiguan,2017,23480,Manual,16004,Diesel,165,50.4,2.0,VW,14264
 A5,2015,10960,Manual,61713,Diesel,20,64.2,2.0,Audi,10538
 C Class,2018,22640,Semi-Auto,15867,Petrol,145,47.1,2.0,Mercedes,30862
 E Class,2015,15998,Semi-Auto,21284,Diesel,125,61.4,2.1,Mercedes,22042
 Golf,2016,18241,Automatic,52943,Petrol,200,39.8,2.0,VW,33871
 Q2,2019,19926,Manual,4383,Petrol,145,47.1,1.0,Audi,19417
 A3,2015,19999,Automatic,26670,Petrol,200,40.9,2.0,Audi,18850
 SL CLASS,2016,21481,Semi-Auto,29840,Petrol,145,47.1,2.0,Mercedes,46641
 A Class,2014,11699,Automatic,60143,Diesel,20,64.2,2.1,Mercedes,8332
 Q2,2018,18695,Manual,12300,Petrol,145,52.3,1.4,Audi,18188
 Golf,2019,17298,Manual,7785,Petrol,145,47.1,1.5,VW,27857
 2 Series,2019,21775,Semi-Auto,8878,Petrol,145,47.9,2.0,BMW,28376
 Golf,2017,15500,Manual,19940,Petrol,20,60.1,1.4,VW,34787
 E Class,2010,8949,Automatic,94873,Diesel,220,44.1,3.0,Mercedes,17611
 Up,2016,6870,Manual,16429,Petrol,20,64.2,1.0,VW,26902
 A3,2016,11500,Manual,29701,Petrol,20,62.8,1.4,Audi,45405
 C Class,2019,25995,Semi-Auto,10085,Diesel,145,56.5,2.0,Mercedes,39910
 A5,2018,24495,Automatic,40929,Diesel,145,58.9,3.0,Audi,19263
 A4,2020,43970,Semi-Auto,3700,Diesel,145,39.2,3.0,Audi,15280
 Tiguan,2017,19690,Manual,8829,Petrol,145,48.7,1.4,VW,26201
 Q5,2014,13525,Manual,63000,Petrol,235,37.7,2.0,Audi,1728
 Tiguan,2017,24300,Automatic,20811,Diesel,145,49.6,2.0,VW,29034
 A3,2015,12490,Manual,59000,Diesel,20,67.3,2.0,Audi,10533
 1 Series,2019,18999,Semi-Auto,12011,Diesel,145,65.7,2.0,BMW,23063
 C Class,2016,14450,Semi-Auto,34000,Diesel,20,65.7,2.1,Mercedes,38815
 C Class,2019,32429,Semi-Auto,1000,Diesel,145,57.7,2.0,Mercedes,13279
 C Class,2016,17300,Automatic,42310,Diesel,30,64.2,2.1,Mercedes,26854
 2 Series,2015,13000,Automatic,38500,Diesel,20,68.9,2.0,BMW,899
 A4,2019,26299,Automatic,4231,Diesel,145,50.4,2.0,Audi,22417
 3 Series,2017,18000,Semi-Auto,33000,Diesel,145,60.1,2.0,BMW,20182
 5 Series,2019,29000,Semi-Auto,4727,Diesel,145,62.8,2.0,BMW,5434
 A5,2019,27450,Automatic,2500,Petrol,145,40.4,2.0,Audi,40320
 Q3,2020,35500,Semi-Auto,4309,Diesel,150,45.6,2.0,Audi,12248
 Golf,2016,22999,Automatic,10339,Petrol,200,39.8,2.0,VW,25585
 Arteon,2019,32391,Automatic,2000,Diesel,145,50.4,2.0,VW,28072
 CL Class,2016,17950,Semi-Auto,58000,Diesel,20,67.3,2.1,Mercedes,41031
 3 Series,2016,14504,Manual,35210,Diesel,30,64.2,2.0,BMW,42778
 Polo,2019,14956,Semi-Auto,6536,Petrol,145,45.6,1.0,VW,36895
 3 Series,2014,11750,Automatic,92000,Diesel,125,60.1,2.0,BMW,46162
 Golf,2016,10990,Manual,44502,Petrol,30,53.3,1.4,VW,25443
 Golf,2017,23975,Semi-Auto,12187,Petrol,145,39.2,2.0,VW,29655
 A Class,2019,20480,Semi-Auto,10371,Diesel,145,65.7,1.5,Mercedes,3024
 Q5,2019,38691,Automatic,10,Diesel,145,38.2,2.0,Audi,847
 GLA Class,2017,19980,Semi-Auto,21849,Diesel,145,64.2,2.1,Mercedes,6446
 X3,2019,33980,Semi-Auto,7861,Diesel,145,54.3,2.0,BMW,31438
 4 Series,2019,25995,Semi-Auto,1000,Diesel,145,60.1,2.0,BMW,44026
 C Class,2018,25298,Semi-Auto,8702,Petrol,145,47.1,2.0,Mercedes,7675
 Golf,2016,15887,Manual,25357,Diesel,20,67.3,2.0,VW,38827
 2 Series,2019,19870,Manual,151,Petrol,145,42.8,1.5,BMW,42702
 3 Series,2015,10000,Automatic,99530,Diesel,30,67.3,2.0,BMW,4933
 GLE Class,2019,44990,Automatic,8351,Diesel,145,32.8,3.0,Mercedes,43766
 Tiguan,2017,22750,Semi-Auto,42755,Diesel,145,49.6,2.0,VW,35383
 5 Series,2015,14789,Semi-Auto,44684,Diesel,125,60.1,2.0,BMW,41691
 CL Class,2016,15750,Manual,46100,Petrol,125,51.4,1.6,Mercedes,7275
 C Class,2014,21495,Automatic,56444,Petrol,580,23.5,6.2,Mercedes,36598
 Polo,2016,9995,Manual,39696,Petrol,20,61.4,1.4,VW,3344
 3 Series,2018,24988,Automatic,23288,Diesel,145,51.4,3.0,BMW,1188
 GLA Class,2016,16294,Manual,23102,Diesel,20,64.2,2.1,Mercedes,7977
 Tiguan,2019,21490,Manual,12861,Petrol,150,40.9,1.5,VW,3988
 Up,2016,7640,Manual,10350,Petrol,20,61.4,1.0,VW,41825
 Touareg,2019,42995,Semi-Auto,2108,Diesel,145,34.0,3.0,VW,22013
 GLA Class,2018,20900,Automatic,20020,Diesel,150,56.5,2.1,Mercedes,6978
 2 Series,2020,29995,Semi-Auto,1000,Petrol,145,47.9,2.0,BMW,39770
 A3,2015,9400,Manual,66000,Diesel,20,68.9,2.0,Audi,43761
 CL Class,2018,21995,Semi-Auto,5194,Diesel,150,67.3,2.1,Mercedes,6709
 Scirocco,2016,14681,Manual,22000,Diesel,20,55.4,2.0,VW,44545
 CL Class,2018,33450,Automatic,7823,Petrol,145,40.9,2.0,Mercedes,28228
 3 Series,2017,18995,Automatic,49954,Diesel,200,49.6,3.0,BMW,4973
 Polo,2018,11450,Manual,24723,Petrol,150,64.2,1.0,VW,9723
 A Class,2014,13750,Automatic,49211,Diesel,30,64.2,1.8,Mercedes,30941
 4 Series,2016,21985,Automatic,33074,Diesel,160,51.4,3.0,BMW,2260
 GLA Class,2017,23250,Automatic,17963,Diesel,145,56.5,2.1,Mercedes,10500
 GLC Class,2019,31990,Automatic,10334,Diesel,150,41.5,2.1,Mercedes,18382
 A5,2018,20391,Semi-Auto,17929,Diesel,145,70.6,2.0,Audi,43582
 V Class,2017,31980,Automatic,16000,Diesel,145,44.8,2.1,Mercedes,13558
 A Class,2015,13300,Automatic,27850,Diesel,20,68.9,1.5,Mercedes,27001
 Tiguan,2017,19995,Semi-Auto,22302,Diesel,160,49.6,2.0,VW,41327
 Q3,2016,18290,Manual,19280,Diesel,150,52.3,2.0,Audi,30067
 GLE Class,2015,22986,Semi-Auto,43434,Diesel,260,42.8,3.0,Mercedes,18699
 C Class,2018,25949,Semi-Auto,11961,Diesel,145,65.7,2.1,Mercedes,27850
 T-Roc,2020,25750,Manual,576,Petrol,145,42.2,1.5,VW,23549
 C Class,2016,17999,Automatic,25108,Diesel,30,64.2,2.1,Mercedes,14346
 4 Series,2015,11570,Manual,78217,Diesel,30,67.3,2.0,BMW,46105
 4 Series,2019,26995,Manual,110,Petrol,145,46.3,2.0,BMW,28831
 C Class,2015,16490,Semi-Auto,53126,Diesel,30,64.2,2.1,Mercedes,7773
 GLC Class,2019,45106,Semi-Auto,427,Diesel,145,40.4,2.0,Mercedes,1555
 1 Series,2017,11850,Manual,29227,Petrol,125,53.3,1.5,BMW,12764
 X1,2017,22495,Semi-Auto,20470,Diesel,145,57.6,2.0,BMW,30550
 Golf,2014,8599,Automatic,58914,Diesel,20,72.4,1.6,VW,11749
 Q5,2019,49400,Semi-Auto,3797,Hybrid,135,117.7,2.0,Audi,6610
 Tiguan,2019,21490,Manual,5327,Petrol,145,38.2,1.5,VW,19951
 GLA Class,2019,25299,Semi-Auto,3413,Diesel,145,64.2,2.1,Mercedes,5721
 3 Series,2016,11299,Manual,54662,Diesel,30,67.3,2.0,BMW,15553
 Golf,2015,10795,Automatic,61570,Diesel,30,62.8,2.0,VW,11153
 Tiguan,2019,29400,Automatic,20,Diesel,145,37.2,1.5,VW,36045
 5 Series,2017,17659,Semi-Auto,31585,Diesel,30,62.8,2.0,BMW,37828
 5 Series,2015,9400,Manual,85725,Diesel,30,65.7,2.0,BMW,12447
 Tiguan,2019,25995,Semi-Auto,2850,Petrol,145,37.7,1.5,VW,11592
 X5,2019,51990,Semi-Auto,12,Diesel,145,37.7,3.0,BMW,28938
 C Class,2020,28490,Semi-Auto,16388,Diesel,145,64.2,2.0,Mercedes,15475
 A4,2019,40800,Semi-Auto,2800,Diesel,145,40.9,3.0,Audi,1316
 A1,2019,21444,Semi-Auto,6295,Petrol,145,40.9,2.0,Audi,30324
 C Class,2017,15872,Manual,30000,Petrol,125,53.3,2.0,Mercedes,44419
 C Class,2015,10995,Semi-Auto,58734,Diesel,150,53.3,2.1,Mercedes,26517
 3 Series,2014,15690,Automatic,44900,Diesel,125,58.9,2.0,BMW,19217
 A4,2019,30500,Automatic,6000,Petrol,145,40.9,2.0,Audi,46412
 5 Series,2015,17000,Semi-Auto,40750,Diesel,160,50.4,3.0,BMW,18881
 Tiguan,2014,9999,Manual,33284,Diesel,145,53.3,2.0,VW,8326
 Golf,2017,13490,Manual,28881,Diesel,20,68.9,2.0,VW,3799
 Up,2016,8495,Semi-Auto,21397,Petrol,20,70.6,1.0,VW,22580
 GLA Class,2015,15490,Manual,31978,Diesel,20,64.2,2.1,Mercedes,6142
 A Class,2020,27995,Semi-Auto,100,Diesel,145,62.8,1.5,Mercedes,8830
 A5,2020,30850,Semi-Auto,4500,Diesel,145,47.1,2.0,Audi,794
 Tiguan,2010,6488,Manual,78000,Diesel,200,44.8,2.0,VW,3471
 Polo,2018,10750,Manual,26212,Petrol,150,60.1,1.0,VW,35616
 Golf,2017,19489,Manual,34371,Petrol,145,44.1,2.0,VW,24336
 C Class,2015,18649,Semi-Auto,26314,Hybrid,0,134.5,2.0,Mercedes,13994
 CLS Class,2015,18680,Automatic,46085,Diesel,160,51.4,3.0,Mercedes,2892
 3 Series,2019,25444,Automatic,13033,Petrol,145,42.2,2.0,BMW,28345
 C Class,2019,24736,Semi-Auto,10605,Diesel,145,64.2,2.0,Mercedes,43466
 X2,2019,30000,Semi-Auto,5431,Diesel,145,48.7,2.0,BMW,22260
 3 Series,2017,20498,Semi-Auto,22271,Hybrid,0,134.5,2.0,BMW,30511
 E Class,2018,47998,Semi-Auto,9783,Petrol,145,31.7,3.0,Mercedes,7238
 B Class,2019,20890,Semi-Auto,3166,Diesel,145,68.9,2.1,Mercedes,40706
 E Class,2017,21607,Automatic,20112,Diesel,165,52.3,3.0,Mercedes,33249
 1 Series,2019,22999,Manual,3641,Diesel,145,58.9,1.5,BMW,16253
 X2,2019,24980,Manual,3189,Diesel,145,48.7,2.0,BMW,34425
 X5,2011,14990,Automatic,70000,Diesel,300,37.7,3.0,BMW,34687
 Tiguan,2018,22475,Semi-Auto,4405,Diesel,145,57.6,2.0,VW,22262
 T-Roc,2019,21229,Manual,50,Diesel,145,50.4,2.0,VW,15105
 C Class,2019,24680,Semi-Auto,10795,Petrol,145,45.6,1.5,Mercedes,34120
 X1,2016,20998,Semi-Auto,26821,Petrol,160,44.8,2.0,BMW,45236
 Q5,2015,19600,Semi-Auto,30000,Diesel,200,47.1,2.0,Audi,4066
 1 Series,2018,15250,Automatic,11487,Petrol,145,55.5,1.5,BMW,44470
 A1,2013,10328,Automatic,49898,Petrol,125,53.3,1.4,Audi,4666
 A Class,2017,15200,Manual,8624,Diesel,150,68.9,2.1,Mercedes,21124
 T-Roc,2019,19290,Manual,6000,Diesel,145,50.4,1.6,VW,2329
 Golf,2018,18250,Manual,20096,Diesel,145,60.1,2.0,VW,20757
 C Class,2019,20299,Semi-Auto,14123,Petrol,145,46.3,1.5,Mercedes,14204
 2 Series,2015,123456,Semi-Auto,33419,Diesel,20,68.9,2.0,BMW,41259
 A3,2015,15000,Semi-Auto,40092,Petrol,20,60.1,1.4,Audi,31390
 Golf,2018,12995,Manual,31327,Petrol,150,58.9,1.0,VW,22637
 Scirocco,2016,16499,Manual,18092,Petrol,150,47.1,2.0,VW,33709
 Q5,2016,19000,Semi-Auto,38482,Diesel,200,47.1,3.0,Audi,19580
 Scirocco,2017,15495,Manual,22430,Petrol,145,47.1,2.0,VW,4677
 CLS Class,2019,34979,Automatic,3130,Diesel,145,48.7,2.9,Mercedes,14684
 Golf,2015,10000,Manual,27794,Diesel,0,88.3,1.6,VW,12113
 A Class,2019,33889,Semi-Auto,1000,Petrol,145,36.7,2.0,Mercedes,4635
 A4,2019,24650,Manual,3750,Petrol,145,38.2,2.0,Audi,10801
 Passat,2017,14491,Manual,38105,Diesel,20,68.9,2.0,VW,35320
 T-Roc,2018,19995,Manual,16251,Petrol,145,53.3,1.5,VW,32190
 B Class,2016,14490,Semi-Auto,24178,Diesel,20,68.9,1.5,Mercedes,902
 3 Series,2019,23980,Semi-Auto,1989,Petrol,145,47.9,2.0,BMW,38345
 A1,2019,19500,Manual,5696,Petrol,145,50.4,0.0,Audi,22919
 A Class,2019,24780,Semi-Auto,2343,Diesel,145,56.5,2.0,Mercedes,23744
 Q7,2018,48985,Semi-Auto,35800,Diesel,145,39.2,4.0,Audi,42682
 X1,2019,25990,Semi-Auto,8989,Diesel,150,60.1,2.0,BMW,17847
 GLC Class,2019,32480,Semi-Auto,16353,Diesel,145,56.5,2.1,Mercedes,38651
 3 Series,2019,27980,Semi-Auto,5023,Petrol,145,45.6,2.0,BMW,24206
 C Class,2017,23990,Semi-Auto,19784,Petrol,145,42.2,2.0,Mercedes,20602
 Golf,2017,18700,Manual,15258,Diesel,145,60.1,2.0,VW,18615
 C Class,2018,18399,Semi-Auto,31122,Diesel,145,64.2,2.1,Mercedes,16013
 2 Series,2020,27998,Manual,1580,Petrol,150,43.5,1.5,BMW,31265
 E Class,2016,18329,Automatic,39031,Diesel,30,65.7,2.0,Mercedes,31748
 GLE Class,2019,48980,Semi-Auto,4056,Diesel,145,36.7,2.0,Mercedes,33955
 Golf,2017,19442,Semi-Auto,24876,Diesel,30,62.8,2.0,VW,43648
 3 Series,2019,24990,Manual,3271,Diesel,145,64.2,2.0,BMW,22731
 Q5,2015,20698,Semi-Auto,44422,Diesel,200,45.6,3.0,Audi,19021
 A1,2017,15490,Semi-Auto,14427,Petrol,150,56.5,1.4,Audi,40738
 Q5,2019,31490,Automatic,3283,Diesel,145,39.2,2.0,Audi,32065
 Golf,2017,13298,Manual,10191,Petrol,30,53.3,1.4,VW,611
 A3,2019,22490,Manual,5000,Petrol,145,42.8,1.5,Audi,2450
 Tiguan,2019,25990,Manual,5020,Diesel,145,42.2,2.0,VW,469
 A4,2019,30995,Semi-Auto,6000,Petrol,145,39.2,2.0,Audi,18073
 Golf,2016,15340,Manual,34973,Diesel,20,67.3,2.0,VW,39271
 C Class,2018,29199,Semi-Auto,4699,Diesel,145,54.3,2.0,Mercedes,6519
 Golf,2017,17500,Manual,28339,Diesel,150,60.1,2.0,VW,15853
 5 Series,2017,26500,Automatic,17766,Diesel,145,60.1,3.0,BMW,24899
 A4,2019,28250,Manual,4500,Petrol,145,39.2,2.0,Audi,30948
 A Class,2017,15975,Semi-Auto,20932,Diesel,150,70.6,2.1,Mercedes,34857
 1 Series,2019,24500,Manual,4064,Diesel,145,57.7,1.5,BMW,16177
 X3,2019,33450,Automatic,9641,Petrol,145,30.4,2.0,BMW,32814
 Golf,2019,17290,Manual,11513,Petrol,145,47.1,1.5,VW,15135
 V Class,2018,19498,Manual,26276,Diesel,145,46.3,2.1,Mercedes,30000
 1 Series,2019,20172,Semi-Auto,5500,Petrol,145,54.3,1.5,BMW,20157
 5 Series,2015,10400,Manual,73227,Diesel,125,61.4,2.0,BMW,1134
 Golf,2017,14700,Manual,10280,Petrol,30,53.3,1.4,VW,35468
 Golf,2018,16490,Automatic,15300,Petrol,145,47.1,1.5,VW,26482
 Q3,2013,13495,Semi-Auto,48250,Diesel,205,47.9,2.0,Audi,3778
 E Class,2018,27999,Semi-Auto,5170,Diesel,145,58.9,2.0,Mercedes,43476
 X1,2019,31440,Semi-Auto,9507,Petrol,145,38.7,2.0,BMW,7087
 Golf,2010,2750,Manual,122437,Diesel,125,57.6,2.0,VW,8208
 X3,2019,36999,Automatic,7105,Diesel,145,54.3,2.0,BMW,34526
 C Class,2019,28466,Automatic,4938,Diesel,145,61.4,2.0,Mercedes,21229
 C Class,2016,18600,Automatic,32897,Diesel,125,60.1,2.1,Mercedes,8745
 Golf,2016,21290,Semi-Auto,27058,Petrol,200,39.8,2.0,VW,43885
 Up,2018,8872,Manual,27385,Petrol,145,60.1,1.0,VW,38923
 X3,2017,23000,Semi-Auto,16945,Diesel,150,54.3,2.0,BMW,45922
 A6,2015,15465,Automatic,55246,Diesel,30,64.2,2.0,Audi,20018
 C Class,2013,11995,Automatic,40000,Diesel,145,53.3,2.1,Mercedes,4509
 GLC Class,2019,41429,Semi-Auto,1000,Diesel,145,40.4,2.0,Mercedes,46326
 3 Series,2014,14250,Automatic,65033,Diesel,160,52.3,3.0,BMW,16353
 A3,2017,19498,Semi-Auto,14413,Petrol,145,56.5,1.5,Audi,44728
 T-Cross,2020,17490,Manual,3882,Diesel,145,53.3,1.6,VW,28286
 GLA Class,2019,25400,Automatic,3000,Petrol,150,35.8,1.6,Mercedes,46014
 A Class,2017,13500,Automatic,37014,Diesel,150,74.3,1.5,Mercedes,27861
 Polo,2017,10791,Manual,16615,Petrol,150,60.1,1.2,VW,44473
 Tiguan,2016,17995,Manual,60500,Diesel,125,58.9,2.0,VW,10207
 2 Series,2019,30000,Automatic,4900,Diesel,145,62.8,2.0,BMW,25120
 X1,2017,17500,Automatic,44882,Petrol,165,44.8,2.0,BMW,23643
 Golf,2019,18950,Manual,2000,Diesel,145,56.5,1.6,VW,45306
 3 Series,2013,12480,Semi-Auto,37603,Diesel,30,62.8,2.0,BMW,8236
 3 Series,2019,32990,Semi-Auto,4758,Diesel,145,49.6,2.0,BMW,39445
 X1,2013,9470,Manual,40812,Diesel,160,51.4,2.0,BMW,23318
 Polo,2019,14799,Manual,5404,Petrol,150,52.3,1.0,VW,43438
 Golf,2017,10975,Manual,57386,Diesel,145,61.4,1.6,VW,16340
 CL Class,2014,19980,Semi-Auto,55206,Petrol,555,29.4,4.7,Mercedes,7285
 X3,2016,22980,Semi-Auto,46389,Diesel,145,54.3,2.0,BMW,38799
 Golf,2015,10700,Manual,17799,Petrol,145,47.9,1.2,VW,22600
 Up,2017,7999,Manual,23656,Petrol,20,64.2,1.0,VW,27688
 Arteon,2019,26995,Semi-Auto,4482,Diesel,145,44.1,2.0,VW,14839
 A Class,2020,28298,Automatic,20,Diesel,145,62.8,1.5,Mercedes,37976
 Q3,2019,26700,Automatic,5000,Diesel,145,48.7,2.0,Audi,13801
 C Class,2016,14770,Semi-Auto,21745,Petrol,125,53.3,2.0,Mercedes,19446
 A Class,2017,17498,Automatic,48931,Diesel,20,68.9,2.1,Mercedes,34318
 A1,2017,13491,Semi-Auto,15712,Petrol,20,64.2,1.0,Audi,10791
 3 Series,2019,28980,Automatic,6129,Diesel,145,50.4,2.0,BMW,27512
 Golf,2015,11899,Manual,32549,Diesel,20,68.9,2.0,VW,308
 A3,2019,29450,Semi-Auto,5326,Petrol,145,34.9,2.0,Audi,1144
 A5,2018,23000,Manual,22351,Petrol,150,47.1,2.0,Audi,39987
 2 Series,2019,23998,Semi-Auto,2318,Petrol,145,47.9,2.0,BMW,37493
 V Class,2019,46995,Automatic,3179,Diesel,145,36.2,2.0,Mercedes,39985
 X3,2019,35995,Automatic,3800,Diesel,145,54.3,2.0,BMW,21585
 Golf,2019,19994,Semi-Auto,13007,Petrol,145,43.5,1.5,VW,13645
 1 Series,2017,18390,Automatic,4237,Petrol,145,54.3,1.5,BMW,31915
